UNIPROT	HPF_SEQ	HPF_PROT
P47599	27381	1709914
P47529	27307	1709915
Q9ZB79	27229	1709916
P20796	27208	1709917
P47269	27037	1709918
P47631	27417	1709919
P47566	27346	1709920
P47518	27296	1709921
P47317	27087	1709922
P47645	27431	1709923
P47641	27427	1709924
P47639	27425	1709925
P47642	27428	1709926
P47638	27424	1709927
P47643	27429	1709928
P47640	27426	1709929
P47644	27430	1709930
P47575	27496	1709931
P47298	27066	1709932
Q49433	1726164	1709933
P47633	27419	1709934
P47632	27418	1709935
P47597	27379	1709936
P47506	27284	1709937
Q49420	27359	1709938
P47352	1713550	1709939
P47296	27064	1709940
P47295	412583	1709941
P47571	27351	1709942
P47513	27291	1709943
P35888	27493	1709944
P47340	1630928	1709945
P47248	27016	1709946
P47442	27216	1709947
P47265	27033	1709948
P47547	27325	1709949
P47496	27272	1709950
Q49405	27280	1709951
P47247	27015	1709952
P47658	2655522	1709953
P47277	27045	1709954
P47470	27247	1709955
P47425	27196	1709956
P47426	27197	1709957
P47335	27105	1709958
P47272	27040	1709959
P47246	27457	1709960
P13927	27474	1709961
P47477	27254	1709962
P47577	27356	1709963
P47647	27433	1709964
P47627	27413	1709965
Q49412	27330	1709966
Q49418	27349	1709967
Q49421	27367	1709968
Q49406	27281	1709969
P47605	27390	1709970
P47259	1548433	1709971
P55825	27282	1709972
Q49396	1730248	1709973
P47695	27480	1709974
P47539	27317	1709975
P47466	27243	1709976
P47543	27321	1709977
P47357	1454423	1709978
P47364	27134	1709979
P47691	27476	1709980
P47345	27115	1709981
P47346	27116	1709982
P47292	27060	1709983
Q49398	27153	1709984
P47279	27047	1709985
P47284	27052	1709986
P47634	27420	1709987
P47669	27454	1709988
P47524	27302	1709989
P47443	27217	1709990
P47250	27018	1709991
P47249	27017	1709992
Q49413	27332	1709993
P47460	27236	1709994
Q57081	27337	1709995
P47331	27101	1709996
P47696	27481	1709997
P47447	27221	1709998
P47419	27190	1709999
P47388	27158	1710000
P47438	1686301	1710001
P47593	27375	1710002
P47457	27233	1710003
P47417	27188	1710004
P47572	27352	1710005
P47353	1650268	1710006
P47280	27048	1710007
P47304	1629284	1710008
P47458	27234	1710009
P47252	27020	1710010
P47698	27483	1710011
P47384	27154	1710012
P47332	27102	1710013
P47481	27258	1710014
P47512	27290	1710015
Q49401	27226	1710016
P47299	27067	1710017
P47418	27189	1710018
P47293	27061	1710019
P22747	27209	1710020
P47537	27315	1710021
P47254	27022	1710022
P47619	27404	1710023
P47463	333921	1710024
P47648	27434	1710025
P47686	27471	1710026
P47487	27263	1710027
P47623	27408	1710028
Q49408	27295	1710029
P47472	27249	1710030
P22746	1929362	1710031
P47387	27157	1710032
P47300	27068	1710033
